Nome,Endereco,Categoria,Notas
Hotel Marguerite,Paris,Hotel,Check-in 06/10 15:00
Louvre,Rue de Rivoli 75001 Paris,Museu,Visita dia 07/10
Disneyland Paris,Marne-la-Vallee,Atração,Visita dia 08/10
Place des Vosges,Place des Vosges 75004 Paris,Marais,Praça histórica linda no outono
L'As du Fallafel,34 Rue des Rosiers 75004 Paris,Comida,Famoso falafel no Marais
Kilo Shop Le Marais,69 Rue de la Verrerie 75004 Paris,Brechó,Brechó onde se paga pelo peso
Shakespeare and Company,37 Rue de la Bucherie 75005 Paris,Cenário Filme,Cenário de Antes do Entardecer
Pont des Arts,Pont des Arts 75006 Paris,Turismo,Ponte icônica perto do Louvre
Trocadero,Place du Trocadero 75016 Paris,Turismo,Melhor vista da Torre Eiffel
Marché des Enfants Rouges,39 Rue de Bretagne 75003 Paris,Mercado,Mercado coberto mais antigo de Paris
